,LHS,RHS,antecedent support,consequent support,support,confidence,lift,leverage,conviction
24,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้หมูหยองมายองเนส20฿,0.2631578947368421,0.16842105263157894,0.07719298245614035,0.2933333333333334,1.7416666666666671,0.032871652816251165,1.1767626613704074
25,ปังพี่บั๊ฟไส้หมูหยองมายองเนส20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.16842105263157894,0.2631578947368421,0.07719298245614035,0.45833333333333337,1.741666666666667,0.032871652816251165,1.3603238866396763
26,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้หมูแดง20฿,0.2631578947368421,0.2,0.11228070175438597,0.4266666666666667,2.1333333333333333,0.05964912280701755,1.3953488372093026
27,ปังพี่บั๊ฟไส้หมูแดง20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.2,0.2631578947368421,0.11228070175438597,0.5614035087719298,2.1333333333333333,0.05964912280701755,1.68
28,ปังพี่บัฟไส้สังขยาใบเตย20฿,ปังพี่บั๊ฟไส้แฮมมายองเนส20฿,0.2631578947368421,0.17894736842105263,0.08421052631578947,0.32,1.7882352941176471,0.037119113573407206,1.2074303405572757
29,ปังพี่บั๊ฟไส้แฮมมายองเนส20฿,ปังพี่บัฟไส้สังขยาใบเตย20฿,0.17894736842105263,0.2631578947368421,0.08421052631578947,0.47058823529411764,1.7882352941176471,0.037119113573407206,1.391812865497076
30,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,ปังพี่บั๊ฟไส้นูเทลล่า30฿,0.1649122807017544,0.12631578947368421,0.09824561403508772,0.5957446808510638,4.716312056737588,0.07741458910433979,2.161218836565097
31,ปังพี่บั๊ฟไส้นูเทลล่า30฿,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,0.12631578947368421,0.1649122807017544,0.09824561403508772,0.7777777777777778,4.716312056737588,0.07741458910433979,3.757894736842105
32,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,0.11578947368421053,0.1649122807017544,0.05263157894736842,0.45454545454545453,2.7562862669245645,0.03353647276084949,1.5309941520467836
33,ปังพี่บั๊ฟไส้มอสซ่าเรล่าชีส30฿,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,0.1649122807017544,0.11578947368421053,0.05263157894736842,0.3191489361702127,2.7562862669245645,0.03353647276084949,1.2986842105263157
34,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,0.22456140350877193,0.23157894736842105,0.10526315789473684,0.46874999999999994,2.024147727272727,0.05325946445060018,1.4464396284829721
35,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,ปังพี่บั๊ฟไส้สังขยาชาไทย20฿,0.23157894736842105,0.22456140350877193,0.10526315789473684,0.45454545454545453,2.024147727272727,0.05325946445060018,1.421637426900585
36,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,0.11578947368421053,0.23157894736842105,0.07017543859649122,0.6060606060606061,2.6170798898071626,0.043361034164358256,1.9506072874493927
37,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,ปังพี่บั๊ฟไส้สังขยามันม่วง20฿,0.23157894736842105,0.11578947368421053,0.07017543859649122,0.30303030303030304,2.6170798898071626,0.043361034164358256,1.268649885583524
38,ปังพี่บั๊ฟไส้หมูซีอิ๋ว20฿,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,0.21052631578947367,0.23157894736842105,0.10877192982456141,0.5166666666666667,2.2310606060606064,0.0600184672206833,1.58983666061706
39,ปังพี่บั๊ฟไส้มัลเบอร์รี่20฿,ปังพี่บั๊ฟไส้หมูซีอิ๋ว20฿,0.23157894736842105,0.21052631578947367,0.10877192982456141,0.4696969696969697,2.2310606060606064,0.0600184672206833,1.4887218045112782
